first_name,second_name,element_type,total_points,minutes,goals_scored,assists,goals_conceded,bonus,clean_sheets,red_cards,yellow_cards,now_cost,value_added,value_added_per_90,value_added_per_million,vapm_per_90
Shane,Duffy,2,11,360,0,0,4,0,1,0,0,5,4,1,0.8,0.2
Oliver,McBurnie,4,13,306,1,0,3,1,2,0,1,5.9,4,1.176,0.678,0.199
Rui Pedro,dos Santos Patrício,1,23,540,0,0,11,2,1,0,0,5.1,6,1,1.176,0.196
Seamus,Coleman,2,15,520,0,0,8,0,2,0,2,5.5,6,1.038,1.091,0.189
Jan,Vertonghen,2,7,270,0,0,4,0,1,0,1,5.3,3,1,0.566,0.189
Ashley,Westwood,3,18,540,0,1,7,2,2,0,1,5.4,6,1,1.111,0.185
Matt,Ritchie,2,8,270,0,0,4,0,1,0,1,5.4,3,1,0.556,0.185
Christian,Eriksen,3,15,335,1,0,5,2,1,0,2,8.8,6,1.612,0.682,0.183
Jorge Luiz,Frello Filho,3,17,502,0,2,12,2,0,0,3,5,5,0.896,1,0.179
Rúben Diogo,da Silva Neves,3,16,466,1,0,10,1,1,0,2,5.5,5,0.966,0.909,0.176
Marcos,Alonso,2,6,166,0,1,3,0,0,0,1,6.2,2,1.084,0.323,0.175
Nathan,Aké,2,15,540,1,0,10,0,0,0,1,4.9,5,0.833,1.02,0.17
César,Azpilicueta,2,12,540,0,2,13,0,0,0,0,5.9,6,1,1.017,0.169
Sokratis,Papastathopoulos,2,13,540,0,0,10,2,1,0,1,5,5,0.833,1,0.167
Davy,Pröpper,3,17,540,0,1,8,0,2,0,0,5,5,0.833,1,0.167
Moise,Kean,4,11,251,0,1,6,0,0,0,0,6.7,3,1.076,0.448,0.161
Gerard,Deulofeu,4,14,370,0,1,14,2,0,0,1,6.2,4,0.973,0.645,0.157
Adrián,San Miguel del Castillo,1,16,501,0,0,5,0,1,0,0,4.6,4,0.719,0.87,0.156
Joelinton Cássio,Apolinário de Lira,4,17,513,1,0,7,3,2,0,2,5.9,5,0.877,0.847,0.149
Dominic,Calvert-Lewin,4,12,313,1,0,4,0,2,0,1,5.8,3,0.863,0.517,0.149
Jamal,Lewis,2,10,539,0,0,13,0,1,0,0,4.5,4,0.668,0.889,0.148
Hugo,Lloris,1,19,450,0,0,6,0,1,0,0,5.5,4,0.8,0.727,0.145
Oliver,Norwood,3,16,513,0,1,6,0,2,0,1,4.9,4,0.702,0.816,0.143
Moussa,Sissoko,3,16,516,0,1,6,0,2,0,1,5,4,0.698,0.8,0.14
Fabio Henrique,Tavares,3,15,466,0,1,5,2,1,0,2,5.5,4,0.773,0.727,0.14
Aymeric,Laporte,2,9,306,0,0,3,0,1,0,1,6.3,3,0.882,0.476,0.14
Jean-Philippe,Gbamin,3,4,135,0,0,0,0,1,0,0,4.9,1,0.667,0.204,0.136
Kasper,Schmeichel,1,19,540,0,0,5,0,1,0,0,5,4,0.667,0.8,0.133
Marvelous,Nakamba,3,5,164,0,0,3,0,1,0,0,4.4,1,0.549,0.227,0.125
Gylfi,Sigurdsson,3,17,479,0,1,7,0,2,0,0,7.7,5,0.939,0.649,0.122
Fernando,Luiz Rosa,3,4,143,0,0,0,0,1,0,0,5.3,1,0.629,0.189,0.119
Nemanja,Matic,3,6,158,0,0,1,0,1,0,0,4.8,1,0.57,0.208,0.118
Sead,Kolasinac,2,6,289,0,1,6,0,0,0,1,5.4,2,0.623,0.37,0.115
Jonathan,Castro Otto,2,11,450,0,0,8,0,1,0,1,5.4,3,0.6,0.556,0.111
Che,Adams,4,15,445,0,1,6,0,2,0,0,5.7,3,0.607,0.526,0.106
Ashley,Young,2,8,326,0,0,4,0,1,0,2,5.4,2,0.552,0.37,0.102
Bernd,Leno,1,18,540,0,0,10,1,1,0,2,5,3,0.5,0.6,0.1
Conor,Coady,2,12,540,0,0,11,0,1,0,1,5,3,0.5,0.6,0.1
Ryan,Bennett,2,9,360,0,0,5,0,1,0,2,5,2,0.5,0.4,0.1
James,McArthur,3,12,433,0,0,2,0,3,0,1,5.3,2,0.416,0.377,0.078
Dale,Stephens,3,14,527,0,0,7,0,2,0,0,4.5,2,0.342,0.444,0.076
Mateo,Kovacic,3,13,440,0,1,10,0,0,0,1,5.5,2,0.409,0.364,0.074
Ben,Foster,1,11,540,0,0,18,2,0,0,0,4.9,2,0.333,0.408,0.068
Declan,Rice,3,14,540,0,0,7,0,3,0,1,4.9,2,0.333,0.408,0.068
Jack,Cork,3,14,527,0,0,7,0,2,0,0,5,2,0.342,0.4,0.068
Georginio,Wijnaldum,3,14,511,0,0,4,0,2,0,0,5.4,2,0.352,0.37,0.065
Joseph,Willock,3,9,281,0,0,5,0,1,0,0,5,1,0.32,0.2,0.064
Tom,Trybull,3,9,325,0,0,9,0,1,0,0,4.5,1,0.277,0.222,0.061
Andros,Townsend,3,9,259,0,0,6,0,1,0,0,5.8,1,0.347,0.172,0.06
Pablo,Fornals,3,9,253,0,0,5,0,1,0,0,6.2,1,0.356,0.161,0.057
Cheikhou,Kouyaté,3,9,337,0,0,5,0,2,0,1,4.9,1,0.267,0.204,0.054
Leander,Dendoncker,3,9,410,0,0,8,0,1,0,0,4.5,1,0.22,0.222,0.049
Jordan,Henderson,3,10,334,0,0,3,0,1,0,0,5.5,1,0.269,0.182,0.049
Ayoze,Pérez,3,10,330,0,0,3,0,1,0,0,6.1,1,0.273,0.164,0.045
Pierre-Emile,Højbjerg,3,12,467,0,0,7,0,2,0,1,4.9,1,0.193,0.204,0.039
Philip,Billing,3,12,495,0,1,9,0,0,0,2,5,1,0.182,0.2,0.036
Danny,Rose,2,10,522,0,0,8,0,1,0,3,5.5,1,0.172,0.182,0.031
Miguel,Almirón,3,13,498,0,0,7,0,2,0,1,5.9,1,0.181,0.169,0.031
Mesut,Özil,3,2,70,0,0,1,0,0,0,0,7.3,0,0,0,0
Henrikh,Mkhitaryan,3,4,110,0,0,0,0,1,0,1,6.8,0,0,0,0
Reiss,Nelson,3,4,134,0,0,2,0,1,0,1,5.4,0,0,0,0
Gabriel Teodoro,Martinelli Silva,4,1,6,0,0,0,0,0,0,0,4.5,0,0,0,0
Bukayo,Saka,3,1,45,0,0,1,0,0,0,0,4.5,0,0,0,0
Jonathan,Kodjia,4,1,16,0,0,2,0,0,0,0,5.4,0,0,0,0
Conor,Hourihane,3,4,105,0,0,2,0,0,0,0,5.7,0,0,0,0
Keinan,Davis,3,3,39,0,0,1,0,0,0,0,4.5,0,0,0,0
Henri,Lansbury,3,2,9,0,0,0,0,0,0,0,4.4,0,0,0,0
Steve,Cook,2,10,540,0,0,10,0,0,0,0,5,0,0,0,0
Charlie,Daniels,2,3,126,0,0,2,0,0,0,0,4.4,0,0,0,0
Dominic,Solanke,4,8,228,0,0,3,0,0,0,0,5.4,0,0,0,0
Jordon,Ibe,3,2,48,0,0,1,0,0,0,0,4.8,0,0,0,0
Lewis,Cook,3,3,89,0,0,1,0,0,0,0,5,0,0,0,0
Andrew,Surman,3,3,57,0,0,1,0,0,0,0,4.8,0,0,0,0
Bernardo,Fernandes da Silva Junior,2,2,67,0,0,3,0,0,0,0,4.4,0,0,0,0
Gaëtan,Bong,2,2,10,0,0,1,0,0,0,0,4.4,0,0,0,0
Glenn,Murray,4,8,254,0,0,3,0,2,0,0,5.7,0,0,0,0
Jürgen,Locadia,4,3,85,0,0,1,0,1,0,0,5.3,0,0,0,0
Yves,Bissouma,3,1,8,0,0,0,0,0,0,0,5,0,0,0,0
Aaron,Connolly,4,3,50,0,0,2,0,0,0,0,4.5,0,0,0,0
Robbie,Brady,3,1,1,0,0,0,0,0,0,0,5.5,0,0,0,0
Jay,Rodriguez,4,6,99,0,0,3,0,0,0,0,5.7,0,0,0,0
Antonio,Rüdiger,2,1,45,0,0,0,0,0,0,0,6,0,0,0,0
Emerson,Palmieri dos Santos,2,5,374,0,0,10,0,0,0,0,5.5,0,0,0,0
Olivier,Giroud,4,4,100,0,0,2,0,1,0,0,6.7,0,0,0,0
Kepa,Arrizabalaga,1,8,540,0,0,13,0,0,0,0,5.5,0,0,0,0
Willian,Borges Da Silva,3,7,235,0,0,5,0,0,0,0,7,0,0,0,0
Pedro,Rodríguez Ledesma,3,4,180,0,0,5,0,0,0,0,7,0,0,0,0
Ross,Barkley,3,5,226,0,0,5,0,0,0,0,5.6,0,0,0,0
Billy,Gilmour,3,1,6,0,0,1,0,0,0,0,4.5,0,0,0,0
Mamadou,Sakho,2,3,191,0,0,5,0,0,0,0,5,0,0,0,0
Christian,Benteke,4,8,231,0,0,3,0,1,0,0,5.8,0,0,0,0
Connor,Wickham,4,2,15,0,0,0,0,0,0,0,4.5,0,0,0,0
Wilfried,Zaha,3,11,475,0,0,7,0,1,0,1,6.8,0,0,0,0
Max,Meyer,3,4,154,0,0,1,0,1,0,1,5.3,0,0,0,0
Víctor,Camarasa,3,1,5,0,0,0,0,0,0,0,4.8,0,0,0,0
Cenk,Tosun,4,1,35,0,0,1,0,0,0,0,5.7,0,0,0,0
Theo,Walcott,3,4,67,0,0,2,0,0,0,0,6.3,0,0,0,0
Tom,Davies,3,1,11,0,0,0,0,0,0,0,5.4,0,0,0,0
Mason,Holgate,2,1,17,0,0,0,0,0,0,0,4.4,0,0,0,0
Christian,Fuchs,2,5,184,0,0,2,0,0,0,0,4.5,0,0,0,0
Wes,Morgan,2,1,12,0,0,0,0,0,0,0,4.3,0,0,0,0
Nampalys,Mendy,3,1,1,0,0,0,0,0,0,0,4.4,0,0,0,0
Dennis,Praet,3,4,103,0,0,1,0,0,0,0,5.4,0,0,0,0
Joseph,Gomez,2,3,91,0,0,1,0,0,0,0,5.3,0,0,0,0
Alisson,Ramses Becker,1,1,38,0,0,0,0,0,0,0,5.8,0,0,0,0
Alex,Oxlade-Chamberlain,3,6,194,0,0,3,0,0,0,0,6.3,0,0,0,0
Xherdan,Shaqiri,3,2,11,0,0,0,0,0,0,0,6.3,0,0,0,0
Adam,Lallana,3,2,10,0,0,0,0,0,0,0,5.8,0,0,0,0
Benjamin,Mendy,2,1,45,0,0,0,0,0,0,0,5.9,0,0,0,0
Phil,Foden,3,1,10,0,0,0,0,0,0,0,5.3,0,0,0,0
Ilkay,Gündogan,3,6,235,0,0,6,0,0,0,0,5.3,0,0,0,0
João Pedro Cavaco,Cancelo,2,2,37,0,0,0,0,0,0,0,5.4,0,0,0,0
Eric,Garcia,2,1,27,0,0,0,0,0,0,0,4.5,0,0,0,0
Mason,Greenwood,4,4,47,0,0,1,0,0,0,0,4.5,0,0,0,0
Jesse,Lingard,3,7,271,0,0,3,0,1,0,1,6.4,0,0,0,0
Juan,Mata,3,9,234,0,0,3,0,1,0,1,6.4,0,0,0,0
Frederico,Rodrigues de Paula Santos,3,2,42,0,0,1,0,0,0,0,5.3,0,0,0,0
Angel,Gomes,3,1,9,0,0,1,0,0,0,0,4.9,0,0,0,0
Tahith,Chong,3,1,20,0,0,0,0,0,0,0,4.4,0,0,0,0
Axel,Tuanzebe,2,1,1,0,0,0,0,0,0,0,4.4,0,0,0,0
Federico,Fernández,2,3,23,0,0,0,0,0,0,0,4.4,0,0,0,0
Yoshinori,Muto,4,4,56,0,0,2,0,0,0,0,5.3,0,0,0,0
Sung-yueng,Ki,3,3,90,0,0,2,0,0,0,0,4.8,0,0,0,0
Allan,Saint-Maximin,3,3,56,0,0,0,0,0,0,0,5.4,0,0,0,0
Andy,Carroll,4,1,8,0,0,0,0,0,0,0,5.4,0,0,0,0
Ben,Godfrey,2,6,540,0,0,14,0,0,0,0,4.5,0,0,0,0
Christoph,Zimmermann,2,1,35,0,0,1,0,0,0,0,4.5,0,0,0,0
Grant,Hanley,2,1,270,0,0,8,0,0,0,0,4,0,0,0,0
Dennis,Srbeny,4,2,10,0,0,0,0,0,0,0,5.3,0,0,0,0
Tim,Krul,1,12,540,0,0,14,0,0,0,0,4.5,0,0,0,0
Mario,Vrancic,3,2,15,0,0,1,0,0,0,0,6.2,0,0,0,0
Onel,Hernández,3,1,20,0,0,0,0,0,0,0,5.3,0,0,0,0
Marco,Stiepermann,3,11,458,0,0,13,0,1,0,1,5.4,0,0,0,0
Alexander,Tettey,3,4,105,0,0,4,0,0,0,0,4.5,0,0,0,0
Josip,Drmic,4,4,42,0,0,1,0,0,0,0,5.4,0,0,0,0
Patrick,Roberts,3,1,1,0,0,0,0,0,0,0,5.3,0,0,0,0
David,McGoldrick,4,8,320,0,0,3,0,1,0,0,5.5,0,0,0,0
Luke,Freeman,3,7,241,0,0,4,0,1,0,1,5.3,0,0,0,0
Phil,Jagielka,2,2,27,0,0,0,0,0,0,0,4.3,0,0,0,0
Ravel,Morrison,3,1,12,0,0,0,0,0,0,0,4.8,0,0,0,0
Ben,Osborn,3,2,13,0,0,0,0,0,0,0,4.8,0,0,0,0
Ryan,Bertrand,2,3,211,0,0,6,0,0,0,0,4.9,0,0,0,0
Yan,Valery,2,3,232,0,0,5,0,0,0,0,4.9,0,0,0,0
Jack,Stephens,2,1,72,0,0,2,0,0,0,0,4.4,0,0,0,0
Michael,Obafemi,4,1,24,0,0,2,0,0,0,0,5,0,0,0,0
Shane,Long,4,2,29,0,0,0,0,0,0,0,4.8,0,0,0,0
Oriol,Romeu Vidal,3,12,513,0,0,8,0,2,0,2,4.5,0,0,0,0
Ben,Davies,2,2,16,0,0,0,0,0,0,0,5.5,0,0,0,0
Kyle,Walker-Peters,2,5,241,0,0,4,0,0,0,0,4.9,0,0,0,0
Paulo,Gazzaniga,1,2,90,0,0,2,0,0,0,0,4.4,0,0,0,0
Bamidele,Alli,3,1,30,0,0,1,0,0,0,0,8.4,0,0,0,0
Oliver,Skipp,3,2,2,0,0,0,0,0,0,0,4.5,0,0,0,0
Giovani,Lo Celso,3,3,44,0,0,0,0,0,0,0,7.3,0,0,0,0
Georges-Kévin,Nkoudou,3,1,2,0,0,0,0,0,0,0,5,0,0,0,0
Christian,Kabasele,2,3,180,0,0,3,0,0,0,0,4.4,0,0,0,0
Adrian,Mariappa,2,-2,90,0,0,8,0,0,0,0,4.3,0,0,0,0
Daryl,Janmaat,2,3,102,0,0,1,0,0,0,0,4.4,0,0,0,0
Troy,Deeney,4,4,180,0,0,4,0,0,0,0,6.2,0,0,0,0
Isaac,Success Ajayi,4,2,34,0,0,1,0,0,0,0,4.9,0,0,0,0
Nathaniel,Chalobah,3,1,19,0,0,0,0,0,0,0,4.5,0,0,0,0
Domingos,Quina,3,1,4,0,0,0,0,0,0,0,4.5,0,0,0,0
Danny,Welbeck,4,2,39,0,0,0,0,0,0,0,5.9,0,0,0,0
Ismaïla,Sarr,3,3,83,0,0,2,0,0,0,0,6.4,0,0,0,0
Dimitri,Foulquier,2,-1,32,0,0,5,0,0,0,0,4,0,0,0,0
Pablo,Zabaleta,2,2,31,0,0,0,0,0,0,0,4.4,0,0,0,0
Jack,Wilshere,3,3,120,0,0,2,0,0,0,0,4.8,0,0,0,0
Carlos,Sánchez,3,3,14,0,0,0,0,0,0,0,4.5,0,0,0,0
Morgan,Gibbs-White,3,3,86,0,0,2,0,0,0,0,4.9,0,0,0,0
Jesús,Vallejo Lázaro,2,0,90,0,0,5,0,0,0,0,4.8,0,0,0,0
Abdoulaye,Doucouré,3,9,520,0,0,18,0,0,0,1,5.8,-1,-0.173,-0.172,-0.03
Craig,Dawson,2,4,540,0,0,18,0,0,0,1,4.9,-1,-0.167,-0.204,-0.034
Kurt,Zouma,2,2,453,0,0,11,0,0,0,1,4.8,-1,-0.199,-0.208,-0.041
Andreas,Christensen,2,3,401,0,0,11,0,0,0,1,5,-1,-0.224,-0.2,-0.045
Davinson,Sánchez,2,5,360,0,0,6,0,0,0,1,5.4,-1,-0.25,-0.185,-0.046
Luka,Milivojevic,3,10,540,0,0,7,0,2,0,4,6.8,-2,-0.333,-0.294,-0.049
André Filipe,Tavares Gomes,3,6,315,0,0,4,0,1,0,2,5.3,-1,-0.286,-0.189,-0.054
Moritz,Leitner,3,8,369,0,0,7,0,0,0,1,4.5,-1,-0.244,-0.222,-0.054
Craig,Cathcart,2,5,360,0,0,8,0,0,0,1,4.4,-1,-0.25,-0.227,-0.057
John,Fleck,3,6,298,0,0,2,0,1,0,2,4.8,-1,-0.302,-0.208,-0.063
Adam,Smith,2,5,310,0,0,7,0,0,0,1,4.4,-1,-0.29,-0.227,-0.066
David,Luiz Moreira Marinho,2,4,450,0,0,10,0,0,0,2,5.8,-2,-0.4,-0.345,-0.069
Harry,Winks,3,9,454,0,0,8,0,1,0,3,5.4,-2,-0.396,-0.37,-0.073
Francisco,Femenía Far,2,3,540,0,0,18,0,0,0,2,4.4,-2,-0.333,-0.455,-0.076
Granit,Xhaka,3,8,431,0,0,9,0,1,0,3,5.3,-2,-0.418,-0.377,-0.079
Ibrahim,Amadou,3,4,234,0,0,5,0,0,0,1,4.5,-1,-0.385,-0.222,-0.085
Etienne,Capoue,3,8,442,0,0,17,0,0,0,2,4.8,-2,-0.407,-0.417,-0.085
Jack,Stacey,2,3,180,0,0,2,0,0,0,1,4.4,-1,-0.5,-0.227,-0.113
Sam,Byram,2,2,181,0,0,5,0,0,0,1,4.4,-1,-0.497,-0.227,-0.113
Maximillian,Aarons,2,2,360,0,0,10,0,0,0,2,4.4,-2,-0.5,-0.455,-0.114
Robert,Snodgrass,3,4,144,0,0,4,0,0,0,1,5.3,-1,-0.625,-0.189,-0.118
Jefferson,Lerma,3,8,463,0,0,9,0,0,0,3,4.9,-3,-0.583,-0.612,-0.119
Fabian,Delph,2,1,270,0,0,7,0,0,0,2,5.4,-2,-0.667,-0.37,-0.123
José,Holebas,2,0,437,0,0,17,0,0,0,3,4.8,-3,-0.618,-0.625,-0.129
Mahmoud Ahmed,Ibrahim Hassan,3,5,349,0,0,4,0,1,1,1,5.3,-3,-0.774,-0.566,-0.146
Demarai,Gray,3,3,101,0,0,1,0,0,0,1,5.3,-1,-0.891,-0.189,-0.168
Aaron,Lennon,3,5,207,0,0,5,0,0,0,2,4.9,-2,-0.87,-0.408,-0.177
Morgan,Schneiderlin,3,4,309,0,0,6,0,1,1,1,4.5,-3,-0.874,-0.667,-0.194
Marc,Albrighton,3,3,87,0,0,1,0,0,0,1,5.3,-1,-1.034,-0.189,-0.196
Fabián,Balbuena,2,0,91,0,0,5,0,0,0,1,4.4,-1,-0.989,-0.227,-0.225
Rúben Gonçalo,Silva Nascimento Vinagre,2,0,90,0,0,3,0,0,0,1,4.4,-1,-1,-0.227,-0.227
Pedro,Lomba Neto,3,3,58,0,0,0,0,0,0,1,5,-1,-1.552,-0.2,-0.31
Stuart,Armstrong,3,4,54,0,0,2,0,0,0,1,5.3,-1,-1.667,-0.189,-0.315
José Ángel,Esmorís Tasende,2,0,45,0,0,0,0,0,0,1,4.8,-1,-2,-0.208,-0.416
James,McCarthy,3,3,48,0,0,2,0,0,0,1,4.5,-1,-1.875,-0.222,-0.416
Victor,Wanyama,3,0,23,0,0,2,0,0,0,1,4.9,-1,-3.913,-0.204,-0.798